sintomas_texto,diagnostico,sintomas_limpo,diagnostico_limpo
"cansaço extremo, dor articular severa, crises dolorosas com fraqueza",anemia_falciforme,cansaço extremo dor articular severa crises dolorosas com fraqueza,anemia_falciforme
cólicas abdominais intensas diarreia sanguinolenta com fraqueza,doenca_crohn,cólicas abdominais intensas diarréia sanguinolenta com fraqueza,doenca_crohn
"juntas doloridas, cansaço que não passa, manchas na face",lupus,juntas doloridas cansaço que não passa manchas na face,lupus
"fadiga severa, dificuldade respiratória, tosse seca, febre e mal estar geral",sarcoidose,fadiga severa dificuldade respiratória tosse seca febre e mal estar,sarcoidose
"dificuldade para levantar os braços, fala alterada",esclerose_lateral,dificuldade para levantar os braços fala alterada,esclerose_lateral
"dor muscular generalizada, cansaco crônica, insônia",fibromialgia,dor muscular generalizada cansaço crônica insônia,fibromialgia
"dor muscular generalizada, fadiga crônica, insônia acompanhado de tontura",fibromialgia,dor muscular generalizada fadiga crônica insônia acompanhado de tontura,fibromialgia
"tremor de repouso, rigidez, movimentos prejudicados e dor de cabeça",parkinson,tremor de repouso rigidez movimentos prejudicados e dor de cabeça,doenca_parkinson
"cansaço severo, falta de ar aos esforços, tosse, febre e dor de cabeça",sarcoidose,cansaço severo dispneia aos esforços tosse febre e dor de cabeça,sarcoidose
"cólicas abdominais intensas, diarreia sanguinolenta",doenca_crohn,cólicas abdominais intensas diarréia sanguinolenta,doenca_crohn
"dor muscular generalizada, fadiga crônica, insônia e perda de apetite",fibromialgia,dor muscular generalizada fadiga crônica insônia e inapetência,fibromialgia
"cansaço severo, falta de ar aos esforços, tosse, febre",sarcoidose,cansaço severo dispneia aos esforços tosse febre,sarcoidose
"perda de forca, cansaco, diplopia, problemas de degluticão",miastenia_gravis,perda de força cansaço diplopia problemas de degluticão,miastenia_gravis
"febre, fadiga, dor muscular, erupção cutânea e mal estar geral",doenca_lyme,febre fadiga dor muscular erupção cutânea e mal estar,doenca_lyme
"febre persistente, fadiga extrema, erupções na pele",febre_maculosa,febre persistente fadiga extrema erupções na pele,febre_maculosa
cansaço extremo e persistente dor muscular confusão,sindrome_fadiga_cronica,cansaço extremo e persistente dor muscular confusão,sindrome_fadiga_cronica
"tremores, rigidez muscular, perda de equilíbrio",parkinson,tremores rigidez perda de equilíbrio,doenca_parkinson
"fadiga, perda de equilíbrio, problemas de visão, dormência",esclerose_multipla,fadiga perda de equilíbrio problemas de visão dormência,esclerose_multipla
"boca seca, olhos secos, fadiga, dor articular e perda de apetite",sindrome_sjogren,secura oral secura ocular fadiga dor articular e inapetência,sindrome_sjogren
"perda de peso inexplicável, coração acelerado, agitação",hipertireoidismo,emagrecimento inexplicável taquicardia agitação,hipertireoidismo
"DOR NAS JUNTAS, FADIGA QUE NAO MELHORA, ERUPÇAO FACIAL com fraqueza",lupus,dor nas juntas fadiga que nao melhora erupção facial com fraqueza,lupus
"tremor de repouso, rigidez, movimentos prejudicados e mal estar geral",parkinson,tremor de repouso rigidez movimentos prejudicados e mal estar,doenca_parkinson
"cansaço, dificuldade para respirar, tosse, febre",sarcoidose,cansaço dificuldade respiratória tosse febre,sarcoidose
"sede constante, urinar mt, emagrecimento rápido acompanhado de tontura",diabetes_tipo1,sede constante urinar mt emagrecimento rápido acompanhado de tontura,diabetes_tipo1
"febre persistente, fadiga severa, dor muscular, erupções acompanhado de tontura",doenca_lyme,febre persistente fadiga severa dor muscular erupções acompanhado de tontura,doenca_lyme
"emagrecimento súbito, coração disparado, ansiedade acompanhado de tontura",hipertireoidismo,emagrecimento súbito taquicardia ansiedade acompanhado de tontura,hipertireoidismo
fadiga dor abdominal tremores problemas hepáticos,doenca_wilson,fadiga dor abdominal tremores problemas hepáticos,doenca_wilson
"perda de força nos membros, fala arrastada, espasmos",esclerose_lateral,perda de força nos membros fala arrastada espasmos,esclerose_lateral
"FADIGA SEVERA, DOR NAS ARTICULAÇÕES, CRISES DE DOR",anemia_falciforme,fadiga severa dor nas articulações crises de dor,anemia_falciforme
"dor abdominal severa, diarreia crônica, fadiga",doenca_crohn,dor abdominal severa diarréia crônica fadiga,doenca_crohn
"cansaço extremo, dor articular, episódios dolorosos",anemia_falciforme,cansaço extremo dor articular episódios dolorosos,anemia_falciforme
"fadiga crônica, falta de ar, tosse seca persistente, febre com fraqueza",sarcoidose,fadiga crônica dispneia tosse seca persistente febre com fraqueza,sarcoidose
"cansaço, dificuldade para respirar, tosse, febre",sarcoidose,cansaço dificuldade respiratória tosse febre,sarcoidose
"problemas de memória severos, confusão mental, desorientação",alzheimer,perda de memória severos confusão mental desorientação,doenca_alzheimer
"fraqueza muscular, fadiga, visão dupla, dificuldade para engolir acompanhado de tontura",miastenia_gravis,fraqueza muscular fadiga diplopia dificuldade para engolir acompanhado de tontura,miastenia_gravis
"fadiga constante, dispneia, tosse seca, febre intermitente",sarcoidose,fadiga constante dispneia tosse seca febre intermitente,sarcoidose
"perda de força muscular, cansaço, problemas visuais, dificuldade de deglutição com fraqueza",miastenia_gravis,perda de força muscular cansaço visão alterada dificuldade de deglutição com fraqueza,miastenia_gravis
"muita sede, frequência urinária aumentada, emagrecimento",diabetes_tipo1,sede excessiva frequência urinária aumentada emagrecimento,diabetes_tipo1
fadiga crônica aumento de peso inexplicável intolerância ao frio,hipotireoidismo,fadiga crônica ganho de peso inexplicável intolerância ao frio,hipotireoidismo
"cansaço, dor na barriga, tremor, problemas no fígado",doenca_wilson,cansaço dor abdominal tremor problemas no fígado,doenca_wilson
"fadiga severa crônica, dor no corpo todo, problemas de foco",sindrome_fadiga_cronica,fadiga severa crônica dor no corpo todo problemas de foco,sindrome_fadiga_cronica
"perda de peso inexplicável, coracão acelerado, agitacão e mal estar geral",hipertireoidismo,emagrecimento inexplicável taquicardia agitacão e mal estar,hipertireoidismo
"emagrecimento súbito, coraçao disparado, ansiedade",hipertireoidismo,emagrecimento súbito coraçao disparado ansiedade,hipertireoidismo
"emagrecimento, palpitações, estado de nervosismo e mal estar geral",hipertireoidismo,emagrecimento palpitações estado de nervosismo e mal estar,hipertireoidismo
"perda de forca muscular, cansaco, problemas visuais, dificuldade de degluticão com fraqueza",miastenia_gravis,perda de força muscular cansaço visão alterada dificuldade de degluticão com fraqueza,miastenia_gravis
"cólicas fortes, diarreia com muco, emagrecimento com fraqueza",doenca_crohn,cólicas fortes diarréia com muco emagrecimento com fraqueza,doenca_crohn
"cólicas fortes, diarreia com muco, emagrecimento",doenca_crohn,cólicas fortes diarréia com muco emagrecimento,doenca_crohn
"boca ressecada, olhos secos, fadiga constante, dor articular",sindrome_sjogren,boca ressecada secura ocular fadiga constante dor articular,sindrome_sjogren
"dor articular, juntas inchadas, dificuldade para se mover com fraqueza",artrite_reumatoide,dor articular inchaço articular dificuldade para se mover com fraqueza,artrite_reumatoide
"dificuldade para levantar os braços, fala alterada",esclerose_lateral,dificuldade para levantar os braços fala alterada,esclerose_lateral
"emagrecimento rápido, taquicardia, ansiedade constante e mal estar geral",hipertireoidismo,emagrecimento rápido taquicardia ansiedade constante e mal estar,hipertireoidismo
"cólicas abdominais, diarreia persistente, perda de apetite e mal estar geral",doenca_crohn,cólicas abdominais diarréia persistente inapetência e mal estar,doenca_crohn
"tremor em repouso, rigidez, dificuldade para se mover e dor de cabeça",parkinson,tremor em repouso rigidez dificuldade para se mover e dor de cabeça,doenca_parkinson
"problemas de memória severos, confusão mental, desorientação",alzheimer,perda de memória severos confusão mental desorientação,doenca_alzheimer
"cansaco severo, dor articular intensa, dor em crises",anemia_falciforme,cansaço severo dor articular intensa dor em crises,anemia_falciforme
"dor no corpo todo, cansaço constante, dificuldade para dormir e perda de apetite",fibromialgia,dor no corpo todo cansaço constante insônia e inapetência,fibromialgia
"emagrecimento rápido, taquicardia, ansiedade constante",hipertireoidismo,emagrecimento rápido taquicardia ansiedade constante,hipertireoidismo
"perda de força nos membros, fala arrastada, espasmos",esclerose_lateral,perda de força nos membros fala arrastada espasmos,esclerose_lateral
"perda de peso rápida, batimentos irregulares, agitação",hipertireoidismo,emagrecimento rápida batimentos irregulares agitação,hipertireoidismo
"cansaço extremo, articulações inchadas, fotofobia",lupus,cansaço extremo inchaço articular fotofobia,lupus
"perda de peso, palpitações frequentes, nervosismo e perda de apetite",hipertireoidismo,emagrecimento palpitações frequentes nervosismo e inapetência,hipertireoidismo
"fadiga constante, dor nas juntas, crises dolorosas",anemia_falciforme,fadiga constante dor nas juntas crises dolorosas,anemia_falciforme
"fadiga severa, dor nas juntas, dor em episódios",anemia_falciforme,fadiga severa dor nas juntas dor em episódios,anemia_falciforme
"esquecimento frequente, confusão, perda de orientação",alzheimer,esquecimento frequente confusão perda de orientação,doenca_alzheimer
"sede constante, urinar muito, emagrecimento rápido",diabetes_tipo1,sede constante micção frequente emagrecimento rápido,diabetes_tipo1
"muita sede, urina frequente, emagrecimento súbito e perda de apetite",diabetes_tipo1,sede excessiva urina frequente emagrecimento súbito e inapetência,diabetes_tipo1
"cólicas fortes, diarreia com muco, emagrecimento",doenca_crohn,cólicas fortes diarréia com muco emagrecimento,doenca_crohn
"cansaço, dor na barriga, tremor, problemas no fígado",doenca_wilson,cansaço dor abdominal tremor problemas no fígado,doenca_wilson
"cansaço severo, dor na barriga, tremor, disfunção hepática",doenca_wilson,cansaço severo dor abdominal tremor disfunção hepática,doenca_wilson
"dor intensa no abdômen, enjoo severo, vômito, confusão e perda de apetite",porfiria,dor intensa no abdômen enjoo severo vômito confusão e inapetência,porfiria
"febre baixa, cansaço constante, dor no corpo, manchas",doenca_lyme,febre baixa cansaço constante dor no corpo manchas,doenca_lyme
"tremor nas mãos, rigidez muscular, instabilidade postural e dor de cabeça",parkinson,tremor nas mãos rigidez instabilidade postural e dor de cabeça,doenca_parkinson
"articulações rígidas, cansaço constante, fotossensibilidade e perda de apetite",lupus,articulações rígidas cansaço constante fotossensibilidade e inapetência,lupus
"dor no abdômen, fezes líquidas, perda de peso rápida",doenca_crohn,dor no abdômen diarreia emagrecimento rápida,doenca_crohn
"cansaco crônica, dor abdominal, tremores, disfunção do fígado",doenca_wilson,cansaço crônica dor abdominal tremores disfunção do fígado,doenca_wilson
"perda de força nos membros, fala arrastada, espasmos",esclerose_lateral,perda de força nos membros fala arrastada espasmos,esclerose_lateral
"perda de peso inexplicável, coração acelerado, agitação",hipertireoidismo,emagrecimento inexplicável taquicardia agitação,hipertireoidismo
"dor muscular difusa, cansaço severo, dificuldades do sono e dor de cabeça",fibromialgia,dor muscular difusa cansaço severo dificuldades do sono e dor de cabeça,fibromialgia
"cansaço, dispneia aos esforços, tosse, febre baixa e dor de cabeça",sarcoidose,cansaço dispneia aos esforços tosse febre baixa e dor de cabeça,sarcoidose
"perda de força nos membros, fala arrastada, espasmos e perda de apetite",esclerose_lateral,perda de força nos membros fala arrastada espasmos e inapetência,esclerose_lateral
"dor na região abdominal, diarreia frequente, fraqueza e dor de cabeça",doenca_crohn,dor na região abdominal diarréia frequente fraqueza e dor de cabeça,doenca_crohn
"fadiga extrema, dor abdominal, tremores, hepatopatia",doenca_wilson,fadiga extrema dor abdominal tremores hepatopatia,doenca_wilson
"perda de força muscular, cansaço, problemas visuais, dificuldade de deglutição",miastenia_gravis,perda de força muscular cansaço visão alterada dificuldade de deglutição,miastenia_gravis
"fadiga severa, obesidade, frieza excessiva",hipotireoidismo,fadiga severa obesidade frieza excessiva,hipotireoidismo
cansaço constante e severo dores musculares problemas cognitivos,sindrome_fadiga_cronica,cansaço constante e severo dores musculares problemas cognitivos,sindrome_fadiga_cronica
secura oral olhos ressecados cansaço constante dor articular,sindrome_sjogren,secura oral olhos ressecados cansaço constante dor articular,sindrome_sjogren
dor articular generalizada fadiga severa erupções cutâneas,lupus,dor articular generalizada fadiga severa erupções cutâneas,lupus
"dor abdominal forte, náusea constante, vômito, alterações mentais",porfiria,dor abdominal forte náusea constante vômito alterações mentais,porfiria
"boca ressecada, olhos secos crônicos, cansaco, dor articular",sindrome_sjogren,boca ressecada secura ocular crônicos cansaço dor articular,sindrome_sjogren
"cansaço que não passa, dor articular, crises álgicas acompanhado de tontura",anemia_falciforme,cansaço que não passa dor articular crises álgicas acompanhado de tontura,anemia_falciforme
"cansaço constante, dor no abdômen, tremor, problemas hepáticos acompanhado de tontura",doenca_wilson,cansaço constante dor no abdômen tremor problemas hepáticos acompanhado de tontura,doenca_wilson
"dor no corpo todo, cansaço constante, dificuldade para dormir acompanhado de tontura",fibromialgia,dor no corpo todo cansaço constante insônia acompanhado de tontura,fibromialgia
"dificuldade para mover os bracos, fala prejudicada, tremores",esclerose_lateral,dificuldade para mover os bracos fala prejudicada tremores,esclerose_lateral
